----------------------------------------------
3 ROUGE1 Average_R: 0.016461565616935982
3 ROUGE1 Average_P: 0.03011072573491808
3 ROUGE1 Average_F: 0.0211457017799079
..............................................
3 ROUGE1 Eval D1001-A.M.100.A  R:0.03732917409387998 P:0.05434782608695653 F:0.04425789572550706 
3 ROUGE1 Eval D1002-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1003-A.M.100.A  R:0.03089985874855234 P:0.06 F:0.040751391457810184 
3 ROUGE1 Eval D1004-A.M.100.A  R:0.042145926331697725 P:0.08333333333333334 F:0.05597467556103626 
3 ROUGE1 Eval D1005-A.M.100.A  R:0.060951368474194544 P:0.1179245283018868 F:0.08033293952469009 
3 ROUGE1 Eval D1006-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1007-A.M.100.B  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1008-A.M.100.B  R:0.029076685970483837 P:0.038461538461538464 F:0.03311120238637821 
3 ROUGE1 Eval D1009-A.M.100.B  R:0.03417076697527765 P:0.06018518518518518 F:0.04353748516411522 
3 ROUGE1 Eval D1010-A.M.100.B  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1011-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1012-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1013-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1014-A.M.100.C  R:0.012627293341579056 P:0.02717391304347826 F:0.01724203537500656 
3 ROUGE1 Eval D1015-A.M.100.C  R:0.015458016389874282 P:0.04166666666666667 F:0.02253622348830219 
3 ROUGE1 Eval D1016-A.M.100.C  R:0.05704767896323484 P:0.12244897959183673 F:0.07782143198937204 
3 ROUGE1 Eval D1017-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1018-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1019-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1020-A.M.100.D  R:0.032445728874300306 P:0.0625 F:0.04271013754457463 
3 ROUGE1 Eval D1021-A.M.100.D  R:0.05086605662828726 P:0.09375 F:0.06594592516186476 
3 ROUGE1 Eval D1022-A.M.100.D  R:0.039767073942605854 P:0.08 F:0.05310637574520451 
3 ROUGE1 Eval D1023-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1024-A.M.100.E  R:0.11047142486834353 P:0.1796875 F:0.13678027050964853 
3 ROUGE1 Eval D1025-A.M.100.E  R:0.020029784190904083 P:0.028169014084507043 F:0.023410819896120313 
3 ROUGE1 Eval D1026-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1027-A.M.100.E  R:0.03433589641980765 P:0.0660377358490566 F:0.04517382618787267 
3 ROUGE1 Eval D1028-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1029-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1030-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1031-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1032-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1033-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1034-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1035-A.M.100.G  R:0.03331773987367584 P:0.0660377358490566 F:0.04428112648221344 
3 ROUGE1 Eval D1036-A.M.100.G  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1037-A.M.100.G  R:0.019370799103808813 P:0.02564102564102564 F:0.022069091129864615 
3 ROUGE1 Eval D1038-A.M.100.G  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1039-A.M.100.G  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1040-A.M.100.G  R:0.03693554649582605 P:0.04746835443037975 F:0.041544234904369474 
3 ROUGE1 Eval D1041-A.M.100.H  R:0.02713539566626346 P:0.061111111111111116 F:0.03758120653542412 
3 ROUGE1 Eval D1042-A.M.100.H  R:0.032849803026458256 P:0.06914893617021277 F:0.04453398710638893 
3 ROUGE1 Eval D1043-A.M.100.H  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1044-A.M.100.H  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1045-A.M.100.H  R:0.0 P:0.0 F:0.0 
3 ROUGE1 Eval D1046-A.M.100.H  R:0.0 P:0.0 F:0.0 
----------------------------------------------
3 ROUGE2 Average_R: 0.00047279975524744866
3 ROUGE2 Average_P: 0.0008684702978181239
3 ROUGE2 Average_F: 0.0006082086869977122
..............................................
3 ROUGE2 Eval D1001-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1002-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1003-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1004-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1005-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1006-A.M.100.A  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1007-A.M.100.B  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1008-A.M.100.B  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1009-A.M.100.B  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1010-A.M.100.B  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1011-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1012-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1013-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1014-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1015-A.M.100.C  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1016-A.M.100.C  R:0.0047174009790832225 P:0.010416666666666666 F:0.006493780307822054 
3 ROUGE2 Eval D1017-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1018-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1019-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1020-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1021-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1022-A.M.100.D  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1023-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1024-A.M.100.E  R:0.007336448598130841 P:0.011904761904761904 F:0.009076145795741609 
3 ROUGE2 Eval D1025-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1026-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1027-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1028-A.M.100.E  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1029-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1030-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1031-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1032-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1033-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1034-A.M.100.F  R:0.0 P:0.0 F:0.0 
3 ROUGE2 Eval D1035-A.M.100.G  R:0.007194939164168577 P:0.014423076923076924 F:0.009598684734286158 
3 ROUGE2 Eval D1036-A.M.100.G  R:0.0 P:0.0 F:0.0 
